Order_ID,Date,Salesperson,Customer_Name,City,State,Spice_Name,Category,Quantity_KG,Price_Per_KG,Total_Amount,Cost_Per_KG,Profit,Demo
MM027,24-Jan,Sunita Singh,Ahmednagar Appetite,Ahmednagar,Maharashtra,Cumin Seeds,Whole Spices,35,160,5600,110,1750, 110
MM028,24-Jan,Priya Patel,Beed Bites,Beed,Maharashtra,Black Mustard Seeds,Whole Spices,12,150,1800,100,600, 100
MM029,24-Feb,Ramesh Gupta,Jalgaon Junction,Jalgaon,Maharashtra,Banana Powder,Ground Spices,6,400,2400,280,720, 280
MM030,24-Feb,Amit Kumar,Akola Appetite,Akola,Maharashtra,Garam Masala,Spice Blends,14,450,6300,300,2100, 300
MM031,24-Feb,Sunita Singh,Wardha Wonders,Wardha,Maharashtra,Bay Leaves,Whole Spices,4,600,2400,450,600, 450
MM032,24-Feb,Priya Patel,Yavatmal Yummy,Yavatmal,Maharashtra,Star Anise,Whole Spices,2,1000,2000,750,500, 750
MM033,24-Feb,Ramesh Gupta,Buldhana Bites,Buldhana,Maharashtra,Asafoetida,Ground Spices,1,3000,3000,2200,800, 2200
MM034,24-Feb,Amit Kumar,Washim Wok,Washim,Maharashtra,Turmeric Powder,Ground Spices,28,180,5040,120,1680, 120
MM035,24-Feb,Sunita Singh,Hingoli Kitchen,Hingoli,Maharashtra,Red Chili Powder,Ground Spices,24,220,5280,150,1680, 150
MM036,24-Feb,Priya Patel,Nanded Nosh,Nanded,Maharashtra,Pav Bhaji Masala,Spice Blends,16,300,4800,190,1760, 190
MM037,24-Mar,Ramesh Gupta,Parbhani Palace,Parbhani,Maharashtra,Coriander Powder,Ground Spices,22,140,3080,95,990, 95
MM038,24-Mar,Amit Kumar,Jalna Journey,Jalna,Maharashtra,Cumin Powder,Ground Spices,19,190,3610,130,1140, 130
MM039,24-Mar,Sunita Singh,Osmanabad Organic,Osmanabad,Maharashtra,Black Pepper,Whole Spices,6,800,4800,600,1200, 600
MM040,24-Mar,Priya Patel,Solapur Supreme,Solapur,Maharashtra,Cloves,Whole Spices,3,1500,4500,1200,900, 1200
MM041,24-Mar,Ramesh Gupta,Pune Premium,Pune,Maharashtra,Nutmeg,Whole Spices,1,2000,2000,1500,500, 1500
MM042,24-Mar,Amit Kumar,Mumbai Magic,Mumbai,Maharashtra,Mace,Whole Spices,1,2500,2500,2000,500, 2000
MM043,24-Mar,Sunita Singh,Nashik Natural,Nashik,Maharashtra,Curry Leaves Powder,Ground Spices,10,250,2500,180,700, 180
MM044,24-Mar,Priya Patel,Aurangabad Aroma,Aurangabad,Maharashtra,Rajma Masala,Spice Blends,13,280,3640,180,1300, 180
MM045,24-Mar,Ramesh Gupta,Kolhapur Kraft,Kolhapur,Maharashtra,Meat Masala,Spice Blends,11,400,4400,260,1540, 260
MM046,24-Apr,Amit Kumar,Nagpur Nouvelle,Nagpur,Maharashtra,Fish Masala,Spice Blends,9,380,3420,240,1260, 240
MM047,24-Apr,Sunita Singh,Thane Taste,Thane,Maharashtra,Chicken Masala,Spice Blends,17,360,6120,230,2210, 230
MM048,24-Apr,Priya Patel,Mumbai Modern,Mumbai,Maharashtra,Kitchen King Masala,Spice Blends,21,320,6720,200,2520, 200
MM049,24-Apr,Ramesh Gupta,Pune Perfect,Pune,Maharashtra,Chana Masala,Spice Blends,14,290,4060,185,1470, 185
MM050,24-Apr,Amit Kumar,Final Order Cafe,Mumbai,Maharashtra,Mixed Spice Powder,Spice Blends,25,240,6000,160,2000, 160
